rep,method,k,n_clusters_found,n_noise,silhouette,davies_bouldin,ARI_language,NMI_language,purity_language,ARI_language_dropNoise,NMI_language_dropNoise,purity_language_dropNoise,ARI_genre,NMI_genre,purity_genre,ARI_genre_dropNoise,NMI_genre_dropNoise,purity_genre_dropNoise
lyrics_embed,kmeans,6.0,6,0,0.0033168355002999306,2.7326088870756227,0.2867580333666845,0.5074079518388568,0.9655172413793104,0.2867580333666845,0.5074079518388568,0.9655172413793104,0.17625637290604515,0.4531976532228225,0.6551724137931034,0.17625637290604515,0.4531976532228225,0.6551724137931034
lyrics_embed,agglomerative_ward,6.0,6,0,0.0043946742080152035,2.5214646382944608,0.4052502050861362,0.5966093719418932,1.0,0.4052502050861362,0.5966093719418932,1.0,0.20807944030692846,0.49724543925039827,0.6896551724137931,0.20807944030692846,0.49724543925039827,0.6896551724137931
lyrics_embed,dbscan_eps0.5,,0,29,,,0.0,0.0,0.6551724137931034,,,,0.0,0.0,0.41379310344827586,,,
lyrics_embed,dbscan_eps1,,0,29,,,0.0,0.0,0.6551724137931034,,,,0.0,0.0,0.41379310344827586,,,
lyrics_embed,dbscan_eps1.5,,0,29,,,0.0,0.0,0.6551724137931034,,,,0.0,0.0,0.41379310344827586,,,
audio_betaVAE_latent,kmeans,6.0,6,0,0.04098549112677574,2.1085686175594804,-0.03820555334999182,0.05123614187703887,0.6551724137931034,-0.03820555334999182,0.05123614187703887,0.6551724137931034,-0.010760233918128656,0.21718434068664644,0.4827586206896552,-0.010760233918128656,0.21718434068664644,0.4827586206896552
audio_betaVAE_latent,agglomerative_ward,6.0,6,0,0.045267872512340546,1.9232583442805387,0.02934247661698505,0.135058589670047,0.7241379310344828,0.02934247661698505,0.135058589670047,0.7241379310344828,0.004262372720814586,0.21165370557839702,0.5172413793103449,0.004262372720814586,0.21165370557839702,0.5172413793103449
audio_betaVAE_latent,dbscan_eps0.5,,0,29,,,0.0,0.0,0.6551724137931034,,,,0.0,0.0,0.41379310344827586,,,
audio_betaVAE_latent,dbscan_eps1,,0,29,,,0.0,0.0,0.6551724137931034,,,,0.0,0.0,0.41379310344827586,,,
audio_betaVAE_latent,dbscan_eps1.5,,0,29,,,0.0,0.0,0.6551724137931034,,,,0.0,0.0,0.41379310344827586,,,
audio_autoencoder_latent,kmeans,6.0,6,0,0.06243201717734337,1.4639554253169411,0.13060052710843373,0.19598238995300654,0.7931034482758621,0.13060052710843373,0.19598238995300654,0.7931034482758621,-0.021304347826086957,0.2376750231061191,0.5172413793103449,-0.021304347826086957,0.2376750231061191,0.5172413793103449
